"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"67";"«Баскетбольная школа», Дубнинская улица (67)";"37.55775278";"55.88068293";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Баскетбольная школа";"";"да";"ГУП «Мосгортранс»";"активна";"889076496";"{type=Point, coordinates=[37.55775278, 55.88068293]}";
"68";"«Д/к Юность», Дубнинская улица (68)";"37.5577084088";"55.8843275315";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Д/к Юность";"";"да";"ГУП «Мосгортранс»";"активна";"889076497";"{type=Point, coordinates=[37.5577084088, 55.8843275315]}";
"69";"«Мкр. Дубки», Дубнинская улица (69)";"37.5576739643";"55.8881514089";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Мкр. Дубки";"";"да";"ГУП «Мосгортранс»";"активна";"889076498";"{type=Point, coordinates=[37.5576739643, 55.8881514089]}";
"70";"«Ин-т Стали», Дубнинская улица (70)";"37.55762874";"55.89221605";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Ин-т Стали";"";"да";"ГУП «Мосгортранс»";"активна";"889076499";"{type=Point, coordinates=[37.55762874, 55.89221605]}";
"71";"«Керамический пр.», Дубнинская улица (71)";"37.5575677861";"55.8935280894";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Керамический пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076500";"{type=Point, coordinates=[37.5575677861, 55.8935280894]}";
"72";"«Платф. Лианозово», Дубнинская улица (72)";"37.55445131";"55.89652393";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Платф. Лианозово";"";"нет";"";"активна";"889076501";"{type=Point, coordinates=[37.55445131, 55.89652393]}";
"73";"«Ст. Ховрино», Ангарская улица (73)";"37.51160056";"55.86956661";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А154; А191; А215; А215К; А270; А352; А571; А591; А665; А748; А928";"Ст. Ховрино";"";"да";"ГУП «Мосгортранс»";"активна";"889076502";"{type=Point, coordinates=[37.51160056, 55.86956661]}";
"74";"«Весенняя ул.», Ангарская улица (74)";"37.51459808";"55.87376954";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А191; А270; А352; А571; А591; А665; А928";"Весенняя ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076503";"{type=Point, coordinates=[37.51459808, 55.87376954]}";
"75";"«Мкр. Западное Дегунино», Ангарская улица (75)";"37.5174212";"55.87606574";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А191; А270; А352; А571; А591; А665; А928";"Мкр. Западное Дегунино";"";"да";"ГУП «Мосгортранс»";"активна";"889076504";"{type=Point, coordinates=[37.5174212, 55.87606574]}";
"76";"«Ангарская ул.», Коровинское шоссе (76)";"37.52218296";"55.87921929";"Коровинское шоссе";"Северный административный округ";"Дмитровский район";"А114; А191; А270; А352; А571; А656; А665; А799; АТ56";"Ангарская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076505";"{type=Point, coordinates=[37.52218296, 55.87921929]}";
